event_id,start_idx,end_idx,start_date,end_date,duration,magnitude,intensity,peak,peak_idx,peak_date,interarrival
1,44,54,1961-09-01,1962-07-01,11,4.1584272384643555,0.37803883986039594,-1.9767183065414429,46,1961-11-01,49.0
2,93,96,1965-10-01,1966-01-01,4,1.5632158517837524,0.3908039629459381,-1.883741855621338,94,1965-11-01,84.0
3,177,179,1972-10-01,1972-12-01,3,1.0602391958236694,0.35341306527455646,-1.7617682218551636,178,1972-11-01,49.0
4,226,239,1976-11-01,1977-12-01,14,3.0157928466796875,0.21541377476283483,-1.726222276687622,238,1977-11-01,43.0
5,269,274,1980-06-01,1980-11-01,6,0.8424340486526489,0.1404056747754415,-1.5389257669448853,272,1980-09-01,29.0
6,298,308,1982-11-01,1983-09-01,11,4.622384071350098,0.4202167337590998,-2.224832773208618,302,1983-03-01,56.0
7,354,358,1987-07-01,1987-11-01,5,2.3811821937561035,0.4762364387512207,-1.7955081462860107,356,1987-09-01,10.0
8,364,368,1988-05-01,1988-09-01,5,0.6013138294219971,0.12026276588439941,-1.4483124017715454,366,1988-07-01,39.0
9,403,405,1991-08-01,1991-10-01,3,0.7814477682113647,0.26048258940378827,-1.601383924484253,404,1991-09-01,130.0
10,533,539,2002-06-01,2002-12-01,7,2.3733277320861816,0.33904681886945454,-1.9673352241516113,537,2002-10-01,35.0
11,568,570,2005-05-01,2005-07-01,3,0.2127748727798462,0.07092495759328206,-1.3891099691390991,570,2005-07-01,109.0
12,677,683,2014-06-01,2014-12-01,7,3.313948392868042,0.47342119898114887,-1.9056824445724487,680,2014-09-01,114.0
13,791,793,2023-12-01,2024-02-01,3,0.2213437557220459,0.07378125190734863,-1.3514564037322998,793,2024-02-01,4.0
14,795,800,2024-04-01,2024-09-01,6,1.3245794773101807,0.22076324621836343,-1.57258141040802,799,2024-08-01,
